Timestamp,X,Y,Polarity
15587,95,55,0
15588,153,69,0
15594,186,57,0
15601,37,62,0
15621,58,93,1
15638,29,40,1
15646,152,69,0
15660,191,63,0
15684,79,66,1
15685,77,66,1
15686,184,61,1
15695,88,61,1
15696,184,67,0
15740,115,82,0
15742,41,63,1
15746,35,60,0
15746,63,63,1
15752,65,74,0
15761,88,74,1
15762,148,59,1
15766,51,55,1
15779,40,51,1
15789,139,49,0
15794,180,52,1
15803,140,57,0
15816,118,82,0
15817,77,73,0
15819,97,73,0
15823,81,73,0
15824,136,59,1
15837,156,59,1
15838,83,73,0
15855,45,52,0
15860,181,56,0
15876,201,76,1
15882,190,64,0
15885,71,64,1
15891,133,17,1
15915,136,17,1
15917,137,82,0
15920,44,56,0
15929,177,47,0
15931,178,45,1
15937,70,73,0
15941,91,73,0
15957,144,50,0
15981,99,62,1
15983,201,90,1
16002,207,90,1
16013,166,68,0
16016,152,68,0
16017,108,61,1
16018,109,61,1
16019,151,69,0
16047,181,66,0
16064,134,17,1
16066,48,54,1
16068,38,59,1
16069,41,89,1
16079,124,27,1
16094,57,63,1
16103,198,95,0
16104,63,65,1
16105,103,78,1
16112,144,60,1
16163,35,46,0
16164,136,16,1
16182,131,16,1
16182,49,67,1
16184,38,67,1
16192,79,59,1
16192,147,47,1
16203,127,81,0
16209,145,50,0
16216,141,57,0
16219,39,68,1
16223,56,63,1
16231,126,81,0
16244,83,63,0
16258,72,74,0
16264,35,65,0
16274,80,66,1
16276,136,59,1
16277,142,56,0
16278,172,56,1
16279,182,55,1
16308,39,58,1
16333,117,71,1
16338,143,57,1
16346,70,113,0
16349,107,60,1
16354,134,77,0
16359,50,55,1
16363,50,55,1
16364,94,71,0
16364,153,57,1
16373,191,57,1
16376,35,64,0
16384,181,67,0
16398,186,56,1
16410,117,94,0
16410,42,56,1
16411,179,56,0
16425,94,72,0
16453,35,62,1
16459,71,62,1
16459,38,62,0
16467,103,76,1
16478,94,73,0
16488,11,19,0
16493,37,45,0
16502,47,55,1
16508,47,53,1
16510,185,67,0
16516,69,73,0
16549,96,61,1
16569,142,53,1
16570,148,53,1
16571,141,53,1
16574,136,54,0
16581,73,68,1
16588,61,73,0
16612,80,73,0
16648,9,88,0
16662,161,25,1
16715,143,56,0
16720,188,56,1
16720,136,59,1
16722,150,69,0
16734,62,65,1
16736,83,66,1
16741,34,55,1
16768,92,55,0
16774,149,69,0
16779,143,50,0
16788,44,52,0
16806,143,47,1
16808,139,47,1
16808,52,73,0
16821,143,69,0
16830,138,56,1
16836,173,56,1
16837,103,58,1
16840,111,82,0
16871,40,56,0
16884,144,58,1
16918,143,58,1
16918,36,69,0
16919,72,56,0
16920,107,82,0
16929,54,72,0
16941,191,64,0
16950,81,65,1
16956,76,65,1
16960,33,48,1
16976,194,62,0
16997,72,62,1
17000,157,57,1
17003,182,66,0
17009,124,66,1
17009,125,66,1
17010,158,62,0
17045,60,55,0
17046,48,55,1
17047,69,74,0
17064,85,73,0
17093,62,74,0
17094,39,46,0
17101,49,72,0
17103,40,52,0
17104,104,55,0
17109,125,82,0
17112,36,68,1
17116,36,68,1
17117,152,59,1
17134,184,61,1
17141,107,61,1
17141,98,73,0
17147,69,68,0
17159,29,88,0
17162,36,40,1
17166,36,40,1
17167,136,59,1
17168,187,66,0
17169,36,53,0
17177,107,52,0
17180,41,83,0
17181,122,82,0
17189,108,60,1
17196,94,55,0
17197,43,55,1
17198,95,72,0
17205,184,66,0
17212,118,66,1
17213,87,63,0
17218,71,69,1
17223,82,65,1
17224,34,53,0
17225,39,52,0
17226,35,53,0
17232,168,56,1
17265,136,19,1
17273,128,18,1
17274,79,73,0
17290,148,48,1
17296,64,74,0
17308,50,76,0
17322,190,57,1
17327,163,24,1
17330,47,80,0
17331,34,60,0
17332,142,60,1
17333,147,69,0
17381,73,62,1
17392,95,73,0
17414,133,74,0
17423,106,95,1
17428,32,55,1
17429,148,55,1
17429,177,55,1
17432,160,68,0
17437,68,73,0
17475,70,74,0
17501,186,65,0
17503,120,82,0
17506,96,97,0
17509,35,44,1
17515,166,61,1
17516,54,37,0
17521,118,42,1
17526,144,55,0
17533,35,55,1
17533,36,64,0
17549,33,61,0
17562,179,53,0
17569,64,63,1
17577,169,62,1
17580,142,49,0
17586,46,50,1
17592,193,59,1
17597,142,69,0
17603,186,66,0
17609,40,59,0
17611,148,69,0
17611,136,59,1
17621,153,68,0
17633,61,74,0
17637,47,79,0
17655,41,52,0
17666,32,42,1
17671,131,79,0
17695,96,94,1
17702,38,51,1
17709,179,57,1
17718,112,57,1
17733,85,111,1
17771,92,65,1
17772,85,65,1
17778,175,58,1
17796,193,63,0
17799,117,71,1
17803,144,47,1
17812,75,74,0
17815,55,73,0
17821,114,75,0
17824,43,82,0
17845,119,39,1
17847,39,59,1
17870,57,73,0
17893,93,61,1
17894,89,72,0
17905,181,58,1
17915,29,88,0
17921,48,52,0
17927,36,45,0
17944,189,60,1
17947,40,60,0
17949,142,58,1
17964,140,58,1
17969,131,78,0
17973,131,26,1
18019,131,17,1
18023,157,68,0
18036,116,82,0
18043,85,64,0
18061,186,59,1
18068,136,59,1
18068,150,59,1
18069,93,62,0
18078,155,57,1
18081,111,57,1
18082,111,81,0
18086,185,57,0
18124,94,66,1
18147,146,69,0
18158,143,51,0
18168,183,67,0
18170,167,56,1
18174,185,56,1
18175,123,60,0
18179,38,42,1
18180,154,56,0
18183,143,53,1
18191,106,80,0
18195,39,54,1
18201,175,68,0
18223,192,63,0
18252,180,67,0
18277,130,79,0
18280,159,68,0
18296,99,74,0
18304,147,50,1
18316,34,47,0
18321,137,47,1
18321,38,83,0
18325,182,58,1
18331,97,58,1
18332,76,62,1
18335,74,62,1
18356,106,60,1
18363,180,66,0
18373,38,46,0
18376,36,61,1
18379,103,61,1
18379,36,61,1
18380,169,68,0
18382,34,68,1
18383,41,59,0
18410,44,59,1
18415,115,63,1
18427,179,52,1
18432,165,61,1
18433,170,61,1
18434,130,17,1
18441,161,68,0
18443,177,67,0
18458,96,73,0
18463,50,54,1
18466,140,54,1
18467,64,65,1
18484,138,58,0
18485,73,74,0
18494,106,55,0
18508,164,59,1
18540,136,59,1
18548,162,59,1
18549,168,68,0
18556,79,56,0
18577,162,56,1
18578,127,20,1
18579,173,68,0
18593,167,58,1
18595,42,71,0
18599,47,72,0
18600,107,95,1
18605,80,95,1
18605,168,62,1
18629,58,73,0
18632,135,17,1
18635,174,68,0
18636,166,60,0
18639,91,55,0
18651,150,57,1
18655,40,57,1
18656,90,61,1
18660,102,74,0
18663,123,82,0
18665,117,43,1
18666,43,52,0
18733,71,74,0
18750,155,69,0
18762,68,74,0
18764,84,73,0
18777,59,73,0
18779,140,47,1
18781,180,53,0
18793,182,67,0
18808,137,48,1
18839,132,53,0
18845,140,70,0
18852,150,52,0
18862,97,92,1
18885,127,19,1
18891,42,52,0
18897,47,52,0
18898,92,72,0
18905,39,83,0
18906,38,53,0
18915,101,82,1
18919,44,55,1
18934,112,82,0
18941,197,45,1
18943,116,59,0
18976,167,68,0
18987,101,61,1
18989,43,61,1
18993,37,58,0
19008,105,58,1
19015,104,81,0
19030,29,88,1
19055,222,88,1
19056,136,59,1
19056,125,81,0
19062,184,56,1
19078,189,56,1
19079,101,62,1
19084,121,36,1
19103,54,55,1
19104,32,53,0
19109,93,66,1
19115,165,68,0
19118,144,57,1
19120,158,57,1
19124,34,61,0
19166,109,60,1
19173,110,60,1
19174,177,60,1
19174,114,85,0
19176,189,65,0
19177,138,53,0
19197,107,52,0
19199,60,74,0
19206,142,56,0
19220,42,83,0
19223,45,52,0
19230,144,52,1
19233,68,68,0
19251,66,74,0
19255,35,40,1
19257,40,58,1
19259,31,2,0
19273,115,75,0
19278,136,50,0
19296,117,94,1
19310,136,55,0
19312,37,63,0
19313,56,73,0
19316,148,52,0
19353,149,52,0
19354,33,55,1
19361,49,55,1
19365,97,97,0
19380,44,49,1
19381,42,58,0
19384,67,74,0
19392,174,56,1
19408,211,93,1
19421,86,73,0
19427,90,73,0
19428,105,81,0
19430,105,55,0
19431,217,25,1
19434,31,2,0
19436,117,71,1
19437,104,61,1
19441,91,61,1
19441,35,51,1
19441,39,42,1
19445,179,67,0
19454,128,80,0
19457,40,54,1
19469,124,82,0
19471,172,56,1
19478,129,57,1
19483,108,57,1
19489,70,56,0
19498,37,68,1
19502,177,60,1
19503,145,60,1
19503,37,60,1
19504,169,60,0
19529,159,69,0
19532,74,74,0
19536,33,53,0
19543,178,58,1
19545,170,58,1
19545,94,63,0
19561,60,73,0
19569,161,59,1
19573,136,59,1
19583,44,83,0
19587,58,55,0
19591,37,51,1
19597,31,2,0
19606,141,49,0
19609,164,67,0
19617,193,61,1
19625,154,69,0
19630,35,44,1
19632,152,69,0
19639,129,80,0
19643,217,14,0
19652,142,70,0
19661,144,51,0
19679,77,74,0
19690,13,69,1
19693,13,69,1
19694,69,64,1
19700,211,64,1
19700,22,13,1
19700,22,13,1
19710,60,56,0
19711,178,67,0
19714,133,78,0
19718,37,54,1
19720,41,54,1
19721,129,60,0
19726,164,60,1
19727,50,55,1
19730,50,55,1
19730,140,57,0
19730,42,46,1
19740,129,17,1
19742,40,83,0
19770,87,73,0
19774,29,88,1
19775,31,2,0
19788,87,66,1
19790,100,62,1
19796,63,74,0
19806,176,68,0
19809,104,75,0
19810,54,73,0
19813,97,63,1
19814,91,63,1
19814,59,56,0
19819,189,57,1
19827,168,60,0
19828,103,60,1
19828,76,89,1
19829,190,65,0
19841,186,54,0
19847,124,74,0
19849,145,55,0
19863,36,55,1
19884,122,60,0
19885,46,52,0
19895,147,56,0
19900,153,69,0
19912,70,74,0
19948,95,97,0
19971,31,2,0
19990,57,64,1
19990,59,64,1
19991,37,53,0
19991,132,17,1
20000,109,67,1
20008,214,67,1
20009,167,62,1
20010,36,59,0
20016,98,55,0
20017,173,50,0
20018,35,69,0
20025,149,51,0
20030,38,68,1
20031,38,54,1
20060,144,70,0
20061,137,56,1
20075,74,88,1
20092,171,51,0
20093,144,53,1
20105,34,55,1
20114,113,15,0
20114,157,69,0
20122,172,51,0
20137,180,52,1
20141,168,58,1
